name,lot,stock,unit,expected_depletion,expiry,supplier,status,reorder_qty,supplier_price,lead_time
원두,L2607-001,9200,g,-,-,미지정,정상,3000,0,1
디카페인 원두,L2607-002,2400,g,-,-,미지정,정상,1000,0,1
콜드브루 원두,L2607-003,4200,g,-,-,미지정,정상,2000,0,1
홍차 티백,L2607-004,46,개,-,-,미지정,정상,24,0,1
허브차 티백,L2607-005,14,개,-,-,미지정,정상,12,0,1
녹차 티백,L2607-006,12,개,-,-,미지정,정상,12,0,1
유자차,L2607-007,15,병,-,-,미지정,정상,12,0,1
아이스티,L2607-008,550,병,-,-,미지정,정상,120,0,1
일반 우유,L2607-009,420,개,-,-,미지정,정상,100,0,1
두유,L2607-010,50,병,-,-,미지정,정상,40,0,1
오트밀크,L2607-011,45,개,-,-,미지정,정상,30,0,1
아몬드밀크,L2607-012,40,개,-,-,미지정,정상,35,0,1
휘핑크림,L2607-013,60,개,-,-,미지정,정상,20,0,1
연유,L2607-014,30,병,-,-,미지정,정상,15,0,1
바닐라 시럽,L2607-015,10,병,-,-,미지정,부족,3,0,1
헤이즐넛 시럽,L2607-016,15,병,-,-,미지정,정상,6,0,1
카라멜 시럽,L2607-017,13,병,-,-,미지정,정상,6,0,1
설탕시럽,L2607-018,11,병,-,-,미지정,정상,6,0,1
초코시럽,L2607-019,35,병,-,-,미지정,과잉,0,0,1
과일시럽,L2607-020,27,병,-,-,미지정,과잉,0,0,1
카라멜소스,L2607-021,16,병,-,-,미지정,정상,4,0,1
화이트소스,L2607-022,24,병,-,-,미지정,정상,4,0,1
바닐라소스,L2607-023,22,병,-,-,미지정,정상,8,0,1
초콜렛소스,L2607-024,21,병,-,-,미지정,정상,2,0,1
초코파우더,L2607-025,13,g,-,-,미지정,정상,3,0,1
바닐라파우더,L2607-026,16,g,-,-,미지정,정상,6,0,1
고구마파우더,L2607-027,15,g,-,-,미지정,정상,7,0,1
자바칩파우더,L2607-028,21,g,-,-,미지정,정상,2,0,1
토피넛파우더,L2607-029,13,g,-,-,미지정,정상,3,0,1
코코넛파우더,L2607-030,16,g,-,-,미지정,정상,6,0,1
쿠키앤크림파우더,L2607-031,15,g,-,-,미지정,정상,7,0,1
